observableId	simulationConditionId	time	simulation
A_OD600	c_1	0.0	0.018939935106838206
A_OD600	c_1	0.5	0.02025401033623728
A_OD600	c_1	1.0	0.021298699835436474
A_OD600	c_1	1.5	0.022775370184014883
A_OD600	c_1	2.0	0.023949224821755852
A_OD600	c_1	2.5	0.02560832234604699
A_OD600	c_1	3.0	0.02692707081812885
A_OD600	c_1	3.5	0.028790771028948933
A_OD600	c_1	4.0	0.03027199378629094
A_OD600	c_1	4.5	0.032365072640344446
A_OD600	c_1	5.0	0.034028403135283256
A_OD600	c_1	5.5	0.036378516895645946
A_OD600	c_1	6.0	0.03824586022714633
A_OD600	c_1	6.5	0.040883848747609836
A_OD600	c_1	7.0	0.04297961795898889
A_OD600	c_1	7.5	0.045939831472393264
A_OD600	c_1	8.0	0.048291201336752715
A_OD600	c_1	8.5	0.05161185017633193
A_OD600	c_1	9.0	0.054249027739103825
A_OD600	c_1	9.5	0.0579725535522664
A_OD600	c_1	10.0	0.06092906395292916
A_OD600	c_1	10.5	0.06510252982989534
A_OD600	c_1	11.0	0.06841551495687055
A_OD600	c_1	11.5	0.0730910104368399
A_OD600	c_1	12.0	0.07680153673710453
A_OD600	c_1	12.5	0.08203659181121585
A_OD600	c_1	13.0	0.08618996203195634
A_OD600	c_1	13.5	0.09204796197067995
A_OD600	c_1	14.0	0.09669402370546276
A_OD600	c_1	14.5	0.10324461373348927
A_OD600	c_1	15.0	0.10843805533270237
A_OD600	c_1	15.5	0.11575752079744388
A_OD600	c_1	16.0	0.12155814244173536
A_OD600	c_1	16.5	0.12972974612639773
A_OD600	c_1	17.0	0.13620269062628287
A_OD600	c_1	17.5	0.14531694422463007
A_OD600	c_1	18.0	0.15501334695075492
A_OD600	c_1	18.5	0.16268770991609327
A_OD600	c_1	19.0	0.17348402479681113
A_OD600	c_1	19.5	0.18202371630855382
A_OD600	c_1	20.0	0.19402958798093517
A_OD600	c_1	20.5	0.20351957397681583
A_OD600	c_1	21.0	0.21685184262465804
A_OD600	c_1	21.5	0.22738233250676848
A_OD600	c_1	22.0	0.2421645544920936
A_OD600	c_1	22.5	0.25383053512150966
A_OD600	c_1	23.0	0.2701922046191855
A_OD600	c_1	23.5	0.2830927281976981
A_OD600	c_10	0.0	0.005706514410259417
A_OD600	c_10	0.5	0.008620848303278065
A_OD600	c_10	1.0	0.011713203438333597
A_OD600	c_10	1.5	0.01752959957040737
A_OD600	c_10	2.0	0.023584086186870263
A_OD600	c_10	2.5	0.03465868189932955
A_OD600	c_10	3.0	0.04577455237705308
A_OD600	c_10	3.5	0.06510212507260733
A_OD600	c_10	4.0	0.08331164865755286
A_OD600	c_10	4.5	0.11248264794075709
A_OD600	c_10	5.0	0.13746330221102376
A_OD600	c_10	5.5	0.17327571840098843
A_OD600	c_10	6.0	0.20052739888028318
A_OD600	c_10	6.5	0.2351538700628041
A_OD600	c_10	7.0	0.2586109854850895
A_OD600	c_10	7.5	0.2854568571361638
A_OD600	c_10	8.0	0.30204031896909506
A_OD600	c_10	8.5	0.3196522657910483
A_OD600	c_10	9.0	0.32987962335317395
A_OD600	c_10	9.5	0.3402468358119961
A_OD600	c_10	10.0	0.34604889325907295
A_OD600	c_10	10.5	0.3517757883120798
A_OD600	c_10	11.0	0.35491557379662425
A_OD600	c_10	11.5	0.3579701691936257
A_OD600	c_10	12.0	0.35962648027659544
A_OD600	c_10	12.5	0.36122557046592196
A_OD600	c_10	13.0	0.36208764597825216
A_OD600	c_10	13.5	0.362916627317391
A_OD600	c_10	14.0	0.36336219220235866
A_OD600	c_10	14.5	0.3637897696743659
A_OD600	c_10	15.0	0.3640192295812287
A_OD600	c_10	15.5	0.3642391924092638
A_OD600	c_10	16.0	0.3643571414244172
A_OD600	c_10	16.5	0.364470146928495
A_OD600	c_10	17.0	0.36453071814948035
A_OD600	c_10	17.5	0.3645887344165612
A_OD600	c_10	18.0	0.36462836382978203
A_OD600	c_10	18.5	0.3646495993174008
A_OD600	c_10	19.0	0.3646699351642869
A_OD600	c_10	19.5	0.36468083135683366
A_OD600	c_10	20.0	0.3646912654059713
A_OD600	c_10	20.5	0.3646968558836531
A_OD600	c_10	21.0	0.3647022091121566
A_OD600	c_10	21.5	0.3647050772721543
A_OD600	c_10	22.0	0.3647078236764451
A_OD600	c_10	22.5	0.36470929513396105
A_OD600	c_10	23.0	0.3647107041173153
A_OD600	c_10	23.5	0.36471145901292157
A_OD600	c_10_11_i	0.0	0.0002637861335176273
A_OD600	c_10_11_i	11.0	0.12986890981939114
A_OD600	c_10_11_i	22.5	0.14519685565596366
B_OD600	c_10_11_i	0.0	0.0023645993525995682
B_OD600	c_10_11_i	11.0	0.05145629369919561
B_OD600	c_10_11_i	22.5	0.09245767967837448
A_OD600	c_10_11_ii	0.0	0.00012020654485254456
A_OD600	c_10_11_ii	12.0	0.20043850921914189
A_OD600	c_10_11_ii	23.23	0.26192626788727197
B_OD600	c_10_11_ii	0.0	0.00047187253672178515
B_OD600	c_10_11_ii	12.0	0.01858415757187176
B_OD600	c_10_11_ii	23.23	0.043915255482153054
A_OD600	c_10_11_iii	0.0	2.520940773871738e-05
A_OD600	c_10_11_iii	13.270000000000005	0.07988959632983254
A_OD600	c_10_11_iii	24.103	0.11248744443747968
B_OD600	c_10_11_iii	0.0	0.001155450614643252
B_OD600	c_10_11_iii	13.270000000000005	0.059157330069282886
B_OD600	c_10_11_iii	24.103	0.1052176322518311
A_OD600	c_10_12_i	0.0	9.75891332441417e-09
A_OD600	c_10_12_i	11.0	3.239421041357717e-05
