time	obs_a	obs_b
0	0.9482379388052584	0.7872149298017787
1	0.5673425853326443	1.4138624809328917
2	0.4667576662346321	1.5793443978395605
3	0.4401957093671779	1.623044025762266
4	0.4331813620976734	1.6345840025541705
5	0.43132904873602157	1.6376314212780376
6	0.43083989918896803	1.6384361682065658
7	0.43071072704977376	1.6386486817065662
8	0.4306766159243632	1.6387048011971557
9	0.4306676080308342	1.6387196209484842
10	0.4306652292718559	1.638723534473485
