0,0.0075
0,0.0075
0.5,0.01082
1,0.015516
1.5,0.022049
2,0.031573
2.5,0.044626
3,0.062185
3.5,0.086338
4,0.11805
4.5,0.15784
5,0.20596
5.5,0.26075
6,0.31981
6.5,0.37964
7,0.43598
7.5,0.48628
8,0.52893
8.5,0.56342
9,0.59038
9.5,0.61019
10,0.62482
10.5,0.63541
11,0.64298
11.5,0.64819
12,0.65185
12.5,0.65444
13,0.65632
13.5,0.65758
14,0.65842
14.5,0.65901
15,0.65947
15.5,0.65979
16,0.65997
16.5,0.66009
17,0.66019
17.5,0.66027
18,0.66032
18.5,0.66035
19,0.66037
19.5,0.66039
20,0.66041
20.5,0.66041
21,0.66042
21.5,0.66042
22,0.66043
22.5,0.66043
23,0.66043
23.5,0.66043
