0,0.009
0,0.009
0.5,0.012386
1,0.016818
1.5,0.02289
2,0.030964
2.5,0.041363
3,0.054661
3.5,0.071255
4,0.091644
4.5,0.11549
5,0.14226
5.5,0.17092
6,0.20004
6.5,0.22817
7,0.25424
7.5,0.27743
8,0.29723
8.5,0.31303
9,0.3256
9.5,0.3354
10,0.34288
10.5,0.34859
11,0.35282
11.5,0.35593
12,0.35819
12.5,0.35983
13,0.36109
13.5,0.36201
14,0.36262
14.5,0.36305
15,0.36339
15.5,0.36365
16,0.36383
16.5,0.36396
17,0.36405
17.5,0.36412
18,0.36417
18.5,0.36421
19,0.36423
19.5,0.36425
20,0.36427
20.5,0.36428
21,0.36428
21.5,0.36429
22,0.36429
22.5,0.3643
23,0.3643
23.5,0.3643
