0,0.01435
0,0.01435
0.5,0.019178
1,0.025408
1.5,0.033446
2,0.044115
2.5,0.057697
3,0.074938
3.5,0.096449
4,0.12281
4.5,0.15379
5,0.19018
5.5,0.23115
6,0.27511
6.5,0.32046
7,0.36547
7.5,0.40857
8,0.44838
8.5,0.48345
9,0.51298
9.5,0.53772
10,0.55797
10.5,0.57419
11,0.58701
11.5,0.5971
12,0.60464
12.5,0.61026
13,0.61454
13.5,0.61786
14,0.62042
14.5,0.62234
15,0.62374
15.5,0.62473
16,0.62552
16.5,0.62612
17,0.62657
17.5,0.6269
18,0.62714
18.5,0.62734
19,0.62748
19.5,0.62758
20,0.62765
20.5,0.62771
21,0.62776
21.5,0.62779
22,0.62782
22.5,0.62783
23,0.62785
23.5,0.62786
