0,0.0019
0,0.0019
0.5,0.0021786
1,0.0025043
1.5,0.0028687
2,0.0032835
2.5,0.0037552
3,0.0043071
3.5,0.0049368
4,0.0056538
4.5,0.0064691
5,0.007395
5.5,0.008445
6,0.0096428
6.5,0.011027
7,0.012596
7.5,0.014369
8,0.01637
8.5,0.018623
9,0.021153
9.5,0.024028
10,0.02728
10.5,0.030911
11,0.034949
11.5,0.039424
12,0.044363
12.5,0.04979
13,0.055822
13.5,0.062406
14,0.069528
14.5,0.077185
15,0.085363
15.5,0.094043
16,0.1032
16.5,0.11284
17,0.12281
17.5,0.13304
18,0.14345
18.5,0.15395
19,0.16446
19.5,0.17487
20,0.18505
20.5,0.19494
21,0.20448
21.5,0.21361
22,0.22229
22.5,0.23041
23,0.238
23.5,0.24507
