0,0.00615
0,0.00615
0.5,0.0068149
1,0.0075503
1.5,0.0083636
2,0.0092628
2.5,0.010251
3,0.011335
3.5,0.012524
4,0.013825
4.5,0.015248
5,0.01683
5.5,0.018557
6,0.020438
6.5,0.022482
7,0.024699
7.5,0.027098
8,0.029703
8.5,0.032541
9,0.035591
9.5,0.038859
10,0.04235
10.5,0.046067
11,0.050012
11.5,0.054214
12,0.058657
12.5,0.063314
13,0.068177
13.5,0.07323
14,0.078461
14.5,0.083849
15,0.089394
15.5,0.095043
16,0.10077
16.5,0.10654
17,0.11232
17.5,0.1181
18,0.12383
18.5,0.12947
19,0.13501
19.5,0.14041
20,0.14566
20.5,0.15074
21,0.15562
21.5,0.16029
22,0.16471
22.5,0.16894
23,0.17291
23.5,0.17666
