0,0.0114
0,0.0114
0.5,0.012794
1,0.01436
1.5,0.01607
2,0.01798
2.5,0.020111
3,0.022458
3.5,0.025035
4,0.027857
4.5,0.030937
5,0.034289
5.5,0.037971
6,0.04196
6.5,0.046248
7,0.050835
7.5,0.055719
8,0.060893
8.5,0.06635
9,0.072114
9.5,0.078104
10,0.084292
10.5,0.090643
11,0.097121
11.5,0.10368
12,0.11029
12.5,0.11688
13,0.1234
13.5,0.12981
14,0.13608
14.5,0.14216
15,0.14803
15.5,0.15362
16,0.15892
16.5,0.16394
17,0.16866
17.5,0.17308
18,0.1772
18.5,0.18103
19,0.18451
19.5,0.18771
20,0.19065
20.5,0.19333
21,0.19578
21.5,0.19801
22,0.20001
22.5,0.20181
23,0.20343
23.5,0.2049
